goal,sol
how to choose a watermelon,"Pick it up: Big or small, the watermelon should feel heavy for its size.    Look for the black spot: Watermelons develop a splotch where they rest on the ground. When this splotch is creamy yellow, it's ripe."
Remove hair from bathroom drain.,Pour full 2 liter bottle of orange soda down bathroom drain.
Easy bookshelf.,"Two planks of wood, 4 concrete bricks. Place 2 concrete bricks on the planks, as far apart as the planks are wide. Place one plank resting on the other 2 bricks. Place the next 2 concrete planks on top, and place the 1st plank on top of the last one. Voila, a sturdy easy book shelf."
To ensure you put the caps on the keyboard back in the right places after dissembling them.,Memorize the intact keyboard.
How do I prepare my parchment paper when making pavlova cookies at home?,Cut two sheets of parchment paper to fit the cookie sheet and trace circles on the serrated knife where you want your cookies to be.
To additional sweet flavor to homemade condensed milk,Add coffee creamer to the mixture
how do you edit an order at a drive thru?,tell them the different order at the payment window after paying.
"To continue using your phone while eon an airplane,","make sure the phone is set to the ""airplane mode"""
How to teach a child to be responsible?,"Get a dog and teach the child what the dog needs, over time let the child take over the responsibilities themselves"
Remove tick from skin.,Soak a cotton ball with water than place on tick.
"To restart a wall mounted heater unit,",open the heater cover and pry a screw driver into the wheel.
how do you get rid of bags under your eyes?,sleep until they disappear.
To design a exercise routine for the lower body you can do at home.,Do squats and lunges while holding the dumbbells.
,
peeler,can be used as a decoration on a television 
"To make a bedroom temperature colder without a fan or air conditioner,","hang up a thick, and dark blanket over the windows and then ensure their is proper air flow in the room."
How to brine a turkey before cooking?,"Boil water with spices and any adjuncts you'd like, bring the water to a cool temperature and then submerge the turkey for several hours in the cold brine"
To set the J bolt into the concrete mix in the mold.,"Push in the J bolt into the poured concrete mix in the mold before it cures, making sure it's straight and square."
Eliminate odors in the laundry room.,"Spray dirty laundry with air freshener, and open a window to clear the room of smell."
How do you harvest honey from a bee box?,"Smoke the bees. Once they are calm, remove the frames that are completely filled with honey from the hive. Use a sharp knife to cut off the wax that caps each comb. Once the combs are all opened, you can use an extractor to drain the honey out of the comb. You can also place the frame over a bucket and let the honey drain into the bucket over a few days time."
"To extend the shelf life of lettuce,",wrap it in foil wrap instead of storing it in a bag.
how do you give your fingerprints at a police station?,place them in an ink trey and they automatically transfer to their system.
crossing out,ugly people from the bachelor is cool
How do I make the pattern for the baby leather shoes?,Create a template on a piece of paper by placing your babies foot on the paper and drawing around it.
blankets,can cover candles 
"To make the caffeine in coffee release slowly after consumption,",add butter to the coffee so that the caffeine combines into the butter and trickles into the body slower.
napkin,hold ice cream scoop to keep hands warm
toilet tissue,is the same color as flour most of the time
How to prevent BBQ chicken skin from burning on the grill?,Place a drip tray underneath the coals and the chicken to prevent flare ups from happening
To prevent burning overflowed cookie batter to your oven,Be sure to place a cookie sheet below the cooling rack to catch anything that falls
table top,can be broken by a finger 
To use a readily available item as a pen to run electricity through for DIY metal etching.,Use a cotton swab.
Jig Saw,chops cars down.
machete,cut growth hair
To save plants from rot root.,Use a 3% hydrogen peroxide solution once a day and spritz the seed every time you re-moisten. You can also use a mixture of 20 parts hydrogen peroxide to 32 parts water to improve your plants’ root system.
How do you make sugar cubes?,"Pour 1 cup of sugar into a bowl and add water slowly while mixing until it is soaked. Place the sugar on a pan and form the sugar into thick, rectangular blocks that are approximately 5 inches by 2 inches. Cut the blocks about halfway down in a grid pattern so they can be broken into cubes later. Place the pan into the over and bake at 100°C for one hour. Remove the pan and allow the blocks to cool to room temperature. Break the sugar blocks into cubes along the grid pattern you scored on the blocks before baking."
To cut radiant foils to be used to cover the attics.,Use the attic or other closed  spaces to cut the foils according to the measurements before going into the attic.
hands,can get a tan palms up
"To easily disburse pancake mix on a pan,",squirt the mix out of a ketch up bottle it is inside of.
how do you check something in the stove without opening the door?,turn on the stove light.
How to prepare fishing line.,Cut worm in half using a lure and pierce half with the fishing hook.
"To help clear out breathing ways when you're congested,",caramelize sugar in a pan and breathe in the steam from it.
To separate egg whiles from the yolk using a water bottle.,Place the water bottle and press it against the yolk.  Keep pushing which creates suction and lifts the yolk.
Removing small scratches in the finish of wooden furniture.,Use a fine brush to apply shoe dye into the scratch.
,
To quiet and noisy box fan.,Tighten the topmost and bottom most screws.
"How to heat a knife to cut thru plastic, rope and other hard materials","Using a soldering iron, remove the tip from the iron and remove the blade from the Exacto knife. Insert the blade holder from the knife into the soldering iron and then put the blade back into the Exacto knife. Heat the knife on a safe, flame resistant surface like a ceramic  tile."
How to keep brown sugar from going hard?,Pour the brown sugar into a container and place a slice of bread or a marshmallow underneath the container to preserve the softness and prevent hardness
to make popcorn without a microwave.,Add oil to the bottom of a pan that has a lid. Put in two kernels and when they pop add the rest of the kernels. Cover and shake the pan constantly until the popping stops.
To add a cinnamon swirl into your loaf of bread,"After the first proving, before it goes into the loaf pan, roll the dough out into a flat rectangle. Using a butter knife, spread very soft butter across the top two thirds of the rectangle, leaving about a third unbuttered at the bottom. Sprinkle your chosen swirl mixture onto the buttered bread--cheese, and cinnamon brown sugar are good choices, or you could even spread the dough with garlic butter. Then, starting with the uppermost buttered edge and working your way along the length of the rectangle, tightly roll your dough back up with your hands until it's completely rolled. Pinch the bottom edge to the rolled loaf with your fingers. Place in the loaf pan for its final proving."
How to infuse coffee flavor into cream?,Use dry coffee grounds and stir it into the cream to infuse the flavor
To iron small spaces in between buttons on a shirt.,Use a soldering iron to get those small spaces between buttons.
pen,can scratch an itch on the lower back easier than the hand
Remove corn husk easily.,Freeze corn before removing.
What can you do when your drapes in your hotel room won't stay closed?,Use the hook part of the clothes hanger to clip the curtain closed for privacy.
Prevent cold sore from spreading.,Replace toothbrush.
How to Meditate,"Meditation can be performed with the eyes open or closed.[11] As a beginner, it is often best to try meditating with open eyes in order to see what is going on around you."
How to serve chicken for a family?,"Once the chicken is roasted, slice away the thigh with the drumstick in tact on one side and then remove the breast and wing on one side"
How do you lodge a knife into a firewood log in order to split it with the knife?,"Place the knife on top of the upright log so the blade is facing down against the wood. Using another log, tap the edge of the blade firmly until the blade is lodged about ¼ inch into the log."
How to make low fat Meringue baked clouds at home.,"Beat 3 egg whites (Let them warm to room temp for 30 min.first) add 1/2 teaspoon vanilla, 1/4 teaspoon cream of tartar.  Beat with mixer until peaks form on egg whites.  Ad gradually a bit at a time, 6 tablespoons of sugar.  Spoon this on baking waxed paper.  Texture the whites to look like clouds or      your preference.  Bake in oven until egg whites are browned (about 12 min.. check this though and remove when you like the appearance.  Enjoy."
Remove hair from kitchen drain.,Pour full 2 liter bottle of coke soda down kitchen drain.
rope,can be put around a pillar 
Remove seeds from  strawberries,"Blend the strawberries, pour the mixture through a fine-mesh strainer with a bowl underneath to catch the pulps and strain out the seeds"
How can I keep a bathroom mirror from fogging up?,Wipe down with shaving cream.
How to make mashed potatoes.,"Peel potatoes, cut into chunks, place in pan cover with water and bring to boil for 20 minutes, drain ad milk, water salt and pepper to taste and mash mash mash."
"To make a BLT,","place bacon, lettuce, and toast onto a sandwich."
Guard mixer from splashes.,Cut a hole in the center of an ice cream lid.
To keep necklaces from getting tangled when traveling.,Loop the necklaces through an earring and close the clasp so they won't get tangled.
To make a rubber mallet when you need one for a project.,"Slip a rubber cane handle onto your hammer’s striking surface, or cut a hole into a tennis ball and slip it onto the hammer’s head."
"To prevent injuries when carving a stick with a knife,","cut with only small, firm motions so that the knife doesn't move quickly."
How can I cut cake perfectly and NOT smudge the nice icing?,"Use dental floss, saw back and forth gently until you get to the bottom of the cake, it will slice through better than a knife."
"To make a piece of wood darker in color,",soak the wood in a vat of coffee or tea.
To mount a TV on a wall.,"Drill holes into the wall, put in mollies than screws. Connect them to the TV's mount."
how to make grapefruit taste sweeter,add citric acid to the grapefruit
thimble,can fit on a crayon 
,
wool,can be used to line pants 
What supplies are needed to make a vinyl record door curtain?,"Wooden plank cut to size of door frame    Heavyweight picture hangers    Heavyweight hanging eyes    Heavyweight string or ribbon    About 40 old records (depending on door size and user error)    Superglue    Dremel, drill, or punch and hammer    An empty door frame that can support a curtain    Protective surface that can be drilled or hammered on"
pliers,can bend clothing in half
When is the best time to go to a very popular theme park?,"The best time to visit a theme park is the day after a big Friday holiday .  The lines will be very thin, especially early in the day."
One seeks to have a decorative portrait appear to move.,One should use an actor.
To stuff Hawaiian Burger Bacon Balls with cheese.,Make an indentation in the outer layer of bacon and add cheese.
How to place the mounting pole for your hose reel?,Mark the center of the top swivel bushing mount. Place the bushing centerline over this mark and mark the center of the two holes that will need to be drilled for the lag bolts. Drill the holes for the lag bolts and mount the top bushing by screwing in the two lag bolts. Align the top bushing over the two holes you drilled into the concrete and mount the top bushing by screwing in the two masonry bolts into the concrete.
Draw a circle.,"Using a compas, poke the spike into the center of the area you want your circle. Now hold that with your left hand and pull the pencil around the center until the lead marks connect."
mouth,can watch video footage.
A spit,cooks carrots 
Make SOS signal.,Make small foil ball to reflect off planes in distance.
How do you prepare paint to repaint a house?,Just start painting right out of the can.
Make a mini hiking kit.,Store small items in empty mint tin.
To easily thread rope through a bag to act as a drawstring.,Attach a safety pin to one end and pull through the tube in the fabric.
To remove price tags stickers off of an item.,Slowly move a blow dryer over the area. This will warm the glue making it easy to peel off.
How can I make my trash can smell better?,Use bags that smell fresh in the trash can or spray it with perfume occasionally.
Reduce chances of vomiting.,Take short rapid breaths.
"To make a phone call from a land line phone,","pick up the receiver, type in the desired phone number, then place the receiver to your head to talk."
"To clean steel before sealing,",scrub any rusted spots with steel wool pads and wipe down with a soft cloth and linseed oil.
What can I put in the bottom of a flower bed to hold moisture in?,Cut up an old porous laundry bag or use a trash bag to place in the flower bed before putting soil in.
Mango Float in a Jar,Crush graham crackers. Peel the mangoes and slice them into strips. Combine the thick cream and the condensed milk. Assemble your jar cakes.
To delint your couch pillows.,"Using a piece of masking tape with the sticky side outward, slowly brush down the sides of the pillow."
Reheat rice,Place ice cube on rice and microwave.
to repel bugs,rub dryer sheets on your clothes and keep one in your pocket
Baby proof a shopping cart.,Wrap pool noodle around shopping cart wheels.
How to prevent a padlock from freezing.,"Keep moisture out of key holes, keep lock coated with WD-40 and if needed heat end of key before inserting."
To swipe a card.,"Make sure the magnetic strip is facing the reader, then slide the card up or down the reader quickly."
how to cut acidic marinara sauce,add a few teaspoons of sugar
How to pry pallet apart.,"Using the other end of a hammer, pry apart the log from the pallet to get nails out."
What is an easy object to use for the eyes of a squid costume?,Use the shiny side of a pair of cassettes as eyes.
,
How can I blow up my air mattress with a shop vac?,"If you don’t have an air compressor to inflate your air mattresses or pool toys, you can use your shop vacuum instead, just pop the top off of a plastic squeeze bottle and fit the top to your vacuum’s hose. You may have to use duct tape. Once the top is secured to the hose, attach the hose to your vacuum’s exhaust port. It’ll blow up your inflatables in no time. To deflate, attach the hose to the vacuum port and suck the air out."
Boil water for a cup of tea using a stove.,"Use a tea kettle, in this case a metal kettle on the stove, fill with a 1/2 cup of water.  Place the kettle on the heat and bring to a boil.  Shut the heat off and pour water into a tea cup.  Fill the kettle with 1/2 cup of water and bring to a boil again."
how do you share your location on the facebook app?,"open the app, and click on the check in link and click post."
How to make the potion have a pink glare to it?,Use a combination of pink coloring and water and add that to the potion mixture
how do you go home on the instagram app?,click on your profile picture at the bottom right of any page.
How to attach a necklace when you've lost your clasp?,use a binder clip to secure the two ends together
Attract deer and rabbits to your back yard.,"Plant hostas, tulips,  peas, soybeans, turnips, alfalfa, sorghum, kale, or corn."
Make flat iron holder.,Roll pot holder into a cylinder.
Prevent balloon from popping easily.,Add a layer of hairspray after blowing up.
How to get a ring unstuck from your finger?,Squirt some Windex - yes Windex - on the finger and ring. Use dental floss or string to pull off.
"To prevent children from locking themselves in a children's bathroom,",tie a string from one knob to another.
how do you cover the lens of a nikon b500 when it's off?,place a cloth on top of it.
how do you ask a question on paper?,write a question mark after the question.
Keep the ducks off the beach.,Put up a no ducks allowed sign on the beach.
reed mat,can function as an article of clothing muskrat 
To make stuffed pizza crust,Fold over the outer edge of dough and insert cheese.
One wants to make a musical instrument out of a bottle cap.,One could make a trombone.
Prevent water waste in toilet.,Flush after each use.
What is a good alternative to sandpaper when removing varnish from wood?,A liquid solvent would remove varnish safely.
handkerchief,can act as a comforter on a real person's bed
How do you snuff a candle?,Hold a small concave cup over the top of the flame to strangle it with it's own smoke.
Pay the mortgage payment.,Empty one of the bedrooms and put an ad on Craigslist to have someone come and rent a room from you thus bringing your mortgage payment down.
How to add an additional compartment to your backpack?,Sow in a pocket from an old denim jeans into the backpack.
What is the main purpose of a minimalist wallet?,Minimalist wallets are used to only carry currency notes so that there isn't the added weight of coins.
How to increase the water content of a piece of meat.,Soak the meat in plain tap water for a few minutes.
"To be safe when working with lye, you can",Make sure to measure it inside
how do you file down a dogs teeth?,use a nail file on their teeth.
Create extra compartment in handbag.,Add a shower cap for divided storage.
Add moisture to air.,Dry wet clothes in dryer.
ornament,can decorate desk  
,
