goal,sol1,sol2
How do we make the paper earrings dome shaped?,Once you have completed the dome earrings roll them into a ball using your hands. Then cover with glue.,Once you have completed the dome earrings push the paper downwards into the quill dome mold. Then seal the two sides of the dome using clear glue.
filters,can be used to  produce radio signal,can be used to  block radio signal
To keep Boots and thick shoes dry and smelling fresh.,"Fold newspapers  and place inside wet shoes to dry, along with drier sheets. It will dry the sheets and leave them smelling fresh.","Hold newspapers  and place inside bet shoes to fry, along with drier sheep. It will dry the sheep and leave them smelling fresh."
how do you squat in an apartment?,visit there without permission.,stay there without permission
What ingredient is left out of fluffy slime that is normally in regular slime?,Butter,Borax
"How do you say ""I love you"" in Swedish?","You can say ""Jag alskar dig"" which sounds like ""Yell-skah-day"".","You can say ""Jag alskar dig"" which sounds like ""Yell-ski-day""."
"To more easily access popular rides at a theme park,",go to the theme park a day after a drinking based holiday.,go to the theme park on a popular holiday instead.
bowl,can store soup ,can store shoes 
how do you smear liquid?,pour it all over.,rub it all over.
folder,can hold clothes hangers with clothes on,can hold paper dolls with clothes on
What color should I paint a cardboard Iron Throne cat bed?,"Paint it completely black with acrylic paint, then dry brush with a tiny bit of silver paint to add highlights and depth.","Paint it completely silver with acrylic paint, then dry brush with a tiny bit of silver paint to add highlights and depth."
How to clean your computer keyboard keys?,"Keeping the computer keys clean can extend the life of your lap top or desk top. If you don't clean the keys, the symbols can eventually become hard to read and you may find you are making many silly typing errors, just because you cannot read the keys. Spray the corner of a rag with windex, or vinegar, and wipe carefully until you can see the symbols clearly again. If the symbols have worn completely away, you can paint them on again with nail polish.","You can get tiny letter stickers that just stick on the computer keys, and you may never have to bother again with windex or vinegar. The F keys are usually tricky, as they are so small, however you can place or tape a cardboard sign above these ones, that indicates what each one should be."
To make cake mix used for cupcakes more dense.,Add more sugar to mix.,Add more flour to mix.
how do you scavenge for something?,you look for it in one place,you look everwhere for it
How should I start the assembling process?,You should organize the pieces first by assembling number.,You should first start with the bigger pieces and then the small ones.
To make the monkeys mouth on the monkey cupcake,Take a large vanilla wafer and put it inside of the cup cake.,Take a large vanilla wafer and put it on the bottom of the cup cake.
To prevent the bottoms of your shoes from touching your clothes in a suitcase.,Prevent dirty soles from soiling your clothes by wrapping shoes in a shower cap.,Prevent dirty soles from soiling your clothes by wrapping shoes in a shower curtain.
,,
To cook the kebab meat on a grill,Place the kebab meat on the grill.,Skewer the meat and put on grill.
how do you use a draw/erase board?,draw on it with chalk.,draw on it with a marker.
How to get people to come to the carnival.,Put the best show you have on free display but in the back of the circus. By time they get to that display they'll have spent a bundle,Offer to let them in on BOGO ticket.
To add fragrance to glycerin for making soap.,Add oils after soap has melted.,Brush oils after soap had been molded.
Keep laptop from overheating.,Use on top of egg carton.,Use on top of egg shells.
"To clean out your dishwasher,",scrub it all and then run an empty cycle with hot soapy water.,scrub it all and then run an empty cycle with cold soapy water.
How to install a carseat into the car.,Follow the instructions and try not to cuss too much.,Buy a car with a carseat already installed!
hot mitts,can keep warm hands in the snow,can keep warm torsos in the snow
how do you cut a sandwhich in half?,break it apart into two pieces.,use a knife to slice through the bread top and bottom of the sandwhich halfway across the sandwich.
floor,can hold a plastic bag on top of it,can hide a plastic bag 
Is there a product that helps keep dirt and grime from sticking to my car?,"Yes, you can try Water Armour. It helps with tar and grime and makes cleaning easier.","Yes, you can try putting baby oil on your car and it will repel things from sticking to your car."
ziplock bag,can be used to hold  lego bricks if it has a small hole,can be used to hold  water if it has a small hole
Acetone,removing pen marks safely,removing peroxide safely
"To add light to a project on a circuit board, you can",Attach a chandelier to the project,Attach an LED to the project
Create paper microwave cover.,Place coffee filter over food.,Place coffee can over food.
How can you use a brick if you have extras when you're done?,Play catch with them in the backyard.,Stack them and line your garden with them.
cotton ball,can clean penny with peroxide,can form penny easily
"To smooth a wooden rod so that you can drill into it, you can",Heat the edges of the rod,Sand the edges of the rod
magazine,can be ruined if they get wet by a mop ,can be ruined if they get wet by a jar 
"To make the binding for a book, you can",Use a strong paper that will not easily rip,Use a weak paper that will easily rip
fingers,can be wrapped in tin foil ,can be wrapped in sticks 
books,shelved on weights of window,shelved on ledge of window
how do you use ketchup out of a ketchup bottle?,squeeze the bottle until ketchup comes out.,take off the bottle top and pour ketchup out.
How do you dry out a wet honeybee?,"Set the bee in a protected, dry, and sunny area outside to allow its wings to dry. It is best to place it on a flower if possible.","Set the bee in a protected, damp, and dark area outside to allow its wings to dry. It is best to place it on a flower if possible."
How can I pull/push my child in the swing while sitting down and resting?,"Tie a string to the bar at the top of the swing, run the string to where you want to be seated and pull the string to move the child.","Tie a string to the handle or base of the swing, run the string to where you want to be seated and pull the string to move the child."
"To solve a Rubik's cube,",twist the cube such that each side is full of the same color.,twist the cube such that each side is full of the all different colors.
how do you walk?,move around on your feet.,move around on your hands and knees.
"To measure oats into a measuring cup without making a mess,","using your measuring cup in your hand, open the lid of the oats and dunk it into the oats, leveling the cup with your finger after you've scooped it back up over the top of the oats.","using your measuring cup on the countertop, open the lid of the oats and dump the container upside down over the oats, leveling the cup with your finger after you've poured the desired amount of oats into the cup."
mittens,can be made into storage for coin collection,can be made into storage for mug collection
how do you change your profile picture on facbook?,click on your profile picture and click 'upload profile picture'.,click on your profile picture and click 'delete profile picture.'
,,
What is the best way to get rid of hiccups?,"Actually try to hiccup, it will cure you.","Actually try to stop your hiccup, it will cure you."
Get enough rest before a trip.,Pack late and get full sleep.,Pack early and get full sleep.
container,can recycle tin foil ,can contain tin foil 
cut an onion without crying,cut off the root of the onion before you slice.,cut off the root of the onion before you crush with bare hands
Learn to make my own condiment buffet for BBQ's.,"Scour yard sales and pick up an old muffin tin and use it for all of your condiments like, mustard, ketchup, mayo, bbq sauce, dips and whatever you need in a small quantity.","Scour yard sales and pick up an old shoe and use it for all of your condiments like, mustard, ketchup, mayo, bbq sauce, dips and whatever you need in a small quantity."
The best nail to use at every crossing of a roofing job,The use of a 160 mil nail at every crossing is the best.,The use of any nail available to make the roofing job is advised.
radio,can be used to listen to  music if it doesn't have batteries,can be used to listen to  silence if it doesn't have batteries
How to boil pasta,"Boil water in a large pot. To make sure pasta doesn't stick together, use at least 4 quarts of water for every pound of noodles.    Salt the water with at least a pinch—more is fine. The salty water adds flavor to the pasta.    Add pasta. ...    Stir the pasta. ...    Test the pasta by tasting it. ...    Drain the pasta.","Boil water in a large pot. To make sure pasta doesn't stick together, use at least 4 quarts of water for every pound of noodles.    Salt the water with at least a tablespoon—more is fine. The salty water adds flavor to the pasta.    Add pasta. ...    Stir the pasta. ...    Test the pasta by tasting it. ...    Drain the pasta."
how to measure liquids,Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the top of the cup.,Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the bottom of the line
Choose the right fish for your tank.,Decide what kind of fish you would like to have and do a little research online to see how much they grow. Purchase your tank for the size they will be.,Decide what size of fish tank you would like to have and do a little research online to see how much water it holds. Purchase your tank and add the fish.
how do you marinade meat?,put seasoning all over it.,"put your meat in a tupperware container and put barbecue sauce all in it, and stir it around."
How to fill up mason jar with water.,Place jar under the faucet and turn faucet off. Fill 3/4 of the jar with water and then  turn the faucet off.,Place jar under the faucet and turn faucet on. Fill 3/4 of the jar with water and then  turn the faucet off.
"To make a decorative pencil holder,","roll sheets of magazines up around a pencil after putting glue on the sheet, pull the pencil out, and glue to bottom jar or can.","roll sheets of magazines up around a pencil after putting glue on the sheet, pull the pencil out, and glue around jar or can."
Will rising prices correct a recession?,"Rising prices are a sign of inflation, but do not necessarily correlate with a correction in recession. The worst case scenario is a recession accompanied by rising cost of living due to inflation of prices and costs related to production and services.","Rising prices can signal a deflation, but do not necessarily cause a correction in recession. The worst case scenario of all would be rising prices and unemployment concurrently. Rising cost of living relates to rising costs of production and services."
What ingredients are needed to make English Breakfast Muffins?,1 beaten egg        20 grams of sugar        5 grams of salt        20 grams of softened unsalted butter (cut into cubes)        300 grams of weak white bread flour        7 grams of hard bake yeast        Approximately 200ml of full fat milk        Corn meal (for dusting furniture),1 beaten egg        20 grams of sugar        5 grams of salt        20 grams of softened unsalted butter (cut into cubes)        300 grams of strong white bread flour        7 grams of easy bake yeast        Approximately 200ml of full fat milk        Corn meal (for dusting)
How to Build a Generic Air Cannon.,"Gather a 2"" Pressure-rated PVC pipe, 4"" end cap, 3 reducers, Ball valve or solenoid valve, Bushings, and pipe nipples, also gather your tools, Fit Pieces Together of your pipes, make the pressue chamber, Attaching the Valve and Barrel, test and trouble shoot the cannon.","Gather a 3"" Pressure-rated PVC pipe, 3"" end cap, 2 reducers, Ball valve or solenoid valve, Bushings, and pipe nipples, also gather your tools, Fit Pieces Together of your pipes, make the pressue chamber, Attaching the Valve and Barrel, test and trouble shoot the cannon."
"To rinse out an egg hair mask,",use boiling water and some shampoo.,use just warm water and some shampoo.
"To cut through a plastic strip, you can",Use a pair of tweezers,Use a pair of snips
How to Raise Threadfin Rainbowfish Fry,"If you don't have breeding threadfins, you can easily purchase vials of eggs off Ebay. Place the eggs in an aquarium half full of clean, dechlorinated water heater to 87-89 degrees farenheit. Add a small sponge filter. Feed the fry zooplankton and tiny insects fromgreen water until they are big enough for artemia. Do 1000% water changes every other day.","If you don't have breeding threadfins, you can easily purchase vials of eggs off Ebay. Place the eggs in an aquarium half full of clean, dechlorinated water heater to 87-89 degrees farenheit. Add a small sponge filter. Feed the fry zooplankton and tiny insects fromgreen water until they are big enough for artemia. Do 10% water changes every other day."
"To make use out of coffee grounds,",mix them with coconut oil and sea salt to make a body scrub.,mix them into your casseroles for extra flavoring in meals.
Make emergency car cup holder.,Place cup in hat.,Place cup in shoe.
how to open a lock illegally?,breask the lock,use a key to open
To remove wrinkles from clothes,Throw them in a dryer with an old sock for thirty minutes.,Throw them in a dryer with a wet sock for thirty minutes.
How to beautify a hanging basket.,Tie skinny ribbons around the plant here and there to add color,Hang christmas ornaments from the plant.
How to dye an egg.,"Mix 1/2 cup boiling water, 1 teaspoon vinegar and 10 to 20 drops food color in a bowl to achieve desired color. Dip hard boiled eggs in dye for a few minutes using a wire egg holder to add and remove eggs from dye.","Mix 1/2 cup boiling water,  and 10 to 20 drops food color in a bowl to achieve desired color. Dip hard boiled eggs in dye for a few minutes using a wire egg holder to add and remove eggs from dye."
Mark hunting trails.,Tie strips of colored poncho to bushes.,Tie strips of newspaper to bushes.
Keep your teeth white.,Brush your teeth with baking soda.,Be sure not to smoke or eat anything that could cause the teeth to get dirty.
To create a wick holder for lantern made out of tin can.,Make a hole in the top of the can and tape the wick on it.,Make a hole in the top of the can and string the wick through.
"To seal an envelope,","open the flap, inspect it, close the flap, and press where the glue is.","open the flap, lick it, close the flap, and press where the glue is."
How to properly dry and clean a knife?,"After rising the knife with water and soap, use a kitchen towel and then a piece of paper towel to dry the knife","After rising the knife with water and soap, use a standard towel to dry and polish the knife properly"
,,
To create the perfect white russian.,Put a white russian mix and ice in a blender and blend on high for 3 minutes until smooth.,Put white russian ingredients together in a shaker and shake it up and pour over ice.
how do you use an eraser?,hold it over what you want to erase on paper,rub it on what you want to erase on paper
What material is a steel rocking chair made out of?,The frame is steel and then fabric can be added if you wish.,The frame is plastic and fabric can be added if you wish
What supplies are needed to make homemade butter?,"Heavy, whipping cream        Salt        Mini Food Processor        Hand Held Strainer        Wooden Spoon        Bowl        Ice and Water        Wire Cutters (optional)","Heavy, whipping cream        Salt        Mini Food Processor        Hand Held Strainer        Wooden Spoon        Bowl        Ice and Water        Cookie Cutters (optional)"
"To cook down chopped apples mixture,","put in a pot on the stove, turn the stove onto high heat, and keep the apple mixture there, bubbling, without stirring at all until there is less volume.","put in pot on the stove, turn the stove onto high heat, then medium-low heat when it starts to boil, while stirring, until there is less volume."
How to Get Smooth Legs,"Shave up your legs, against the grain for a close shave.","Shave down your legs, with the grain for a close shave."
how do you scan an ar code in a store?,take a picture of it with your phone camera.,take a picture of it with your digital camera.
dresser,can be a stand for a  flower vase  ,can be a stand for a  shoe 
How to clean a toilet.,Add cleaner into the toilet and use a toilet brush to scrub around the inside.,Add cleaner on the toilet and use a toilet brush to scrub around the inside.
How to remove a stuck light bulb.,"Press the center of a foot-long strip of duct tape onto the middle of the bulb. Fold each loose end in half so it sticks onto itself. Gripping each end between your thumb and index finger, give a clockwise twist to loosen the bulb.","Press the center of a foot-long strip of duct tape onto the middle of the bulb. Fold each loose end in half so it sticks onto itself. Gripping each end between your thumb and index finger, give a counterclockwise twist to loosen the bulb."
how do you eat boiled egg?,just eat the egg itself.,cut off the white that is around the yolk and eat the yolk.
How do I choose good apples at the grocery store?,"Look for obvious bad spots. If you see spots that are rotten, dark brown, or too soft, the apple has likely already gone bad. ...    Look for cuts. ...    Examine the color. ...    Check the apple for firmness. ...    Sniff the apple to detect foul odor.","Look for obvious bad spots. If you see spots that are rotten, dark brown, or too soft, the apple has likely already gone bad. ...    Look for cuts cause those are the good ones. ...    Examine the color. ...    Check the apple for firmness. ...    Sniff the apple to detect foul odor."
How can I mark walls for hanging or placing something?,Use white chalk because the chalk will make easy to see marks that will quickly disappear when wiped with a damp paper towel.,Use black  permanent marker because the chalk will make easy to see marks that will quickly disappear when wiped with a damp paper towel.
"To make a pretend knife for a cake, you can",Craft the knife out of fondant,Craft the knife out of fondue
"To save cookie dough to use at a later date, you can",Store it in the oven until you need it again,Store it in the refrigerator until you need it again
To help prevent tangles in dog fur,put a few drops of coconut milk in the bath water when bathing them.,put a few drops of coconut oil in the bath water when bathing them.
What is the best way to cut narrow metal bars to size?,Use a hacksaw.,Use a metal file.
How to dye yarn.,Dip yarn into bucket full of dye.,Dip yarn into funnel full of dye.
How can I easily carry clothes on hangers when I move?,"Take a couple of full heavy duty clothes hangers, then hook several hangers of clothes on Those hangers and carry them all at once.","Take a couple of empty heavy duty clothes hangers, then hook several hangers of clothes on Those hangers and carry them all at once."
How to take your bust measurement to help find your bra size.,"Wrap a measuring tape somewhat loosely around the fullest part of your chest, at waist level and round to the nearest whole number.","Wrap a measuring tape somewhat loosely around the fullest part of your chest, at nipple level and round to the nearest whole number."
listen,can hear record the sound of a birds wings ride by,can hear a bird  ride by
Protect wooden surface from moisture.,Apply vinegar and water to the surface with a soft brush or sponge brush. Let dry completely.,Apply clear poly coat to the surface with a soft brush or sponge brush. Let dry completely.
Clean soap scum off bathroom tiles.,Rub a wet dryer sheet on scum spots.,Rub a dry dryer sheet on scum spots.
"To prevent a child from falling into a window well,",purchase or build a window well cover and place it over the window well.,purchase or build a window well cover and place it near the window well.
machete,can lay on the tablecloth ,can fold a tablecloth 
How to Transfer Words to Wood,"Create your text using a word or image editing program.Print your text on a sheet of printer paper. Cover the back of the paper crayons and white glue. Tape the paper graphite-side-down on your piece of wood. Trace the letters with a pencil, pressing hard.Remove the paper, then go over the letters, if needed. Paint the letters with acrylic paint. Let the paint dry","Create your text using a word or image editing program.Print your text on a sheet of printer paper. Cover the back of the paper with graphite. Tape the paper graphite-side-down on your piece of wood. Trace the letters with a pencil, pressing hard.Remove the paper, then go over the letters, if needed. Paint the letters with acrylic paint. Let the paint dry"
toilet tissue,can clean hair ,can clean the sink 
How do you blend out your eye shadow?,"Place the bristles of a blending brush lightly on your eyelid at the edge of the eye shadow, then make tight circles with the brush not touching the skin.","Place the bristles of a blending brush lightly on your eyelid at the edge of the eye shadow, then make tight circles with the brush against the skin."
How do I get my coffee to taste less dark?,Add a little bit of milk or creamer to the coffee.,Add a little bit of more coffee to the drink.
how to make carne asada tacos,Brown 2 ounces diced dried chorizo in a skillet; remove with a slotted spoon. Melt 1/2 pound chopped monterey jack in the skillet. Serve in flour tortillas with the chorizo.,"Brown 2 ounces diced dried chorizo in a skillet; remove with a slotted spoon. Melt 1/2 pound chopped monterey jack, and 1 pound pickles in the skillet. Serve in flour tortillas with the chorizo."
,,
liquid,stop fires ,stop flooding 
toothpaste,can mold  statues  ,can mold  hair  
Paint rocks for hiding,"Use an acrylic paint and paint on a clean rock. Once the paint is dry, paint a thick layer of modge podge over the entire rock and let dry overnight before hiding.","Use an acrylic paint and paint on a clean rock. Once the paint is dry, paint a thick layer of white  paint over the entire rock and let dry overnight before hiding."
how to wrap soap,Cut a sheet of plastic wrap 3 times larger than your soap. Set the soap on top of the waxed paper set on burlap cloth. Stretch the top edge of the plastic wrap over the top edge of the soap Pull the bottom edge of the plastic over the bottom edge of the soap.Bring the left and right sides of the plastic wrap over the soap. Secure the side edges with a piece of tape or a label.,Cut a sheet of plastic wrap 3 times larger than your soap. Set the soap on top of the plastic wrap. Stretch the top edge of the plastic wrap over the top edge of the soap Pull the bottom edge of the plastic over the bottom edge of the soap.Bring the left and right sides of the plastic wrap over the soap. Secure the side edges with a piece of tape or a label.
a bucket,can hold acid ,can hold paint 
how do you floss your teeth with a toothpick?,use the pick to scrape out any food stuck in your teeth.,chew on the toothpick
how do I remove a chocolate milk stain?,"Run cold water directly over the carpet stain.    Using a bit of dishwashing detergent and a clean cloth, rub the stain in a circular motion. Then let it sit for a few minutes.    Rinse the area with cold water again and the chocolate stain should disappear","Run cold water directly over the carpet stain.    Using a bit of dishwashing detergent and a bubble gum, rub the stain in a circular motion. Then let it sit for a few minutes.    Rinse the area with cold water again and the chocolate stain should disappear"
How to remove garlic odor from hands?,Rub your hands on your stainless steel sink,use lye soap with a little lemon juice mixed in and rub for two hours.
To prevent birds from pooping on your car.,After you park leave a toy snake on the roof. The birds hate snakes and will stay away.,After you park leave a toy duck on the roof. The birds hate ducks and will stay away.
how to winterize windows,put weather stripping around them to stop air from escaping and air from coming in,put weather stripping around them to stop air from escaping and air from coming into the dishwasher
How to make a payment with a card chip,"Bring your purchases to the register and tell the clerk you will pay with a debit card. Once you are asked to insert your card, place your card in the machine with the exposed chip facing up. Press all buttons needed if the card reader demands credentials","Bring your purchases to the register and tell the clerk you will pay with a debit card. Once you are asked to insert your card, place your card in the machine with the exposed chip facing up. Press any buttons needed if the card reader demands credentials."
"Stop a key from sticking in a lock, or from being difficult to put into a lock.","Use a paper towel and apply some glue to the key.  Wipe the key almost clean, a small amount of glue will be left behind allowing the key to slide in and out easily.","Use a paper towel and apply some oil to the key.  Wipe the key almost clean, a small amount of oil will be left behind allowing the key to slide in and out easily."
To build a giant Jenga set,Get a few set of Jenga and clear the floor from toys and clutter and make sure you have enough space to build the set.,Put the Jenga set on the floor.
Make a small animal trap.,Bury soda can in ground with lid side up to create a pitfall.,Bury tin can in ground with lid side up to create a pitfall.
Remove paper cover from a book.,Put palm down on first page of book and with scissors cut the cover from the binding. Turn the book over and repeat.,Put palm down on first page of book and with your other hand slowly pull the cover from the binding. Turn the book over and repeat.
tub,is shaped like colander ,is used like colander 
how do you recline?,sit back.,sit forward.
To use pliers properly.,"Grip the stuck object with the pliers, release, then grip the pliers firmly and pull.","Grip the stuck object with the pliers, then grip the pliers firmly and pull."
Write a message with candles.,Use small tealight candles to form letters.,Use matchsticks to form letters.
How do you store root vegetables?,"Do not wash before storage, keep them in a dry cool dark place for maximizing freshness.","Do wash before storage, keep them in a dry warm dark place for maximizing freshness."
a brush,helps keep nails clean,helps keep light clean
two wooden mixing spoons,can beat eggs and other baking items and assessories to make a cake,can beat up stalks of wheat from the fields to make a cake
To make homemade mustard creamier.,Use a food processor to break up the seeds.,Use a spoon to break up the seeds.
ask for help reading it,a guide in spanish on vaycay,a guide in braile on vaycay
how do you cheese something?,sprinkle cheese all over it.,sprinkle cheese underneath it.
how do you use the flash on a nikon b500?,press flash.,pop the flash up.
"To flatten a woven rug so it doesn't bunch up, you can",Spray it with a spritz of water and use your hands to flatten it,Spray it with a spritz of water and use your lips to flatten it
Sharpie dried out?,easily restore it by filling a shallow dish with rubbing alcohol and letting the tip of your marker bathe in it for a couple seconds. Put the cap back on for an hour and the marker will be good as new,easily restore it by filling a shallow dish with rubbing alcohol and letting the tip of your marker bathe in it for a couple minutes. Put the cap back on for an hour and the marker will be good as new
sofa,sits floor ,sits cardboard box 
how do you fill up a bag?,place items in it until you want to close it.,place items in it until they reach the top.
,,
stand,can support a television ,can support soup 
To keep berry and granola layers intact when making Granola Crunch Berry Yogurt Popsicle.,Make sure the final ingredient is the yogurt because it acts as a binder and keeps the granola and berry layers intact,Make sure the final ingredient is the milk because it acts as a binder and keeps the granola and berry layers intact
Is investing in the stock market a good choice?,"Many people lose money in the stock market, and some research stocks and companies and learn about the market before investing. Education is probably the key to growing success in the stock market.","Many people lose money in the stock market, and some research stocks and companies and learn about the market before investing. Evolution is probably the key to growing success in the stock market."
How to search in Yahoo,"Open your desired electronic, click yahoo, then type in what you want to search and click enter","Open your desired magazine, click yahoo, then type in what you want to search and click enter"
Do I need baking powder or baking soda to make pancakes?,"To make pancakes, you will only need baking soda.","To make pancakes, you will need baking powder and baking soda."
Make DIY lash growth oil,Combine a tablespoon of coconut oil with one drop of lemon essential oil and one drop of lavender oil. Apply the mixture to your lash line each night with a Q-tip and dab away any excess moisture with a tissue.,Combine a tablespoon of coconut oil with one drop of lemon essential oil and one drop of lavender oil. Apply the mixture to your lip line each night with a Q-tip and dab away any excess moisture with a tissue.
How do you make beaded hair sticks?,Beaded hair sticks can be made by twisting wire and adding decorative seed pearls or beads to it;  finish it by carefully twisting the end of the wire to hold everything in place.,Beaded hair sticks can be made by twisting hair and adding decorative seed pearls or beads to it;  finish it by carefully twisting the end of the hair to hold everything in place.
a sponge,can clean a car properly,can clean teeth properly
How do you make jello shots?,"Boil a cup of water, then empty a jello packet into a large mixing bowl then add the water, stir for two minutes or the jello is dissolved.  Then add 1/2 cup of cold water and 1/2 cup of vodka stir until mixed and pour in 2oz cups filled 1/2 to 3/4 of the way and bake in the oven until solid.","Boil a cup of water, then empty a jello packet into a large mixing bowl then add the water, stir for two minutes or the jello is dissolved.  Then add 1/2 cup of cold water and 1/2 cup of vodka stir until mixed and pour in 2oz cups filled 1/2 to 3/4 of the way and chill in the refrigerator until solid."
Speed up clothes ironing.,Wrap ironing board with saran wrap.,Wrap ironing board with foil.
How to make fried ice cream,"Start with frozen scoops of ice cream, roll them into a mixture of cornflake crumbs and cinnamon that you have mixed in a bowl already. Then drop ice cream balls one at a time into deep fryer or skillet with oil and cook for 8-10 seconds","Start with frozen scoops of ice cream, roll them into a mixture of cornflake crumbs and cinnamon that you have mixed in a bowl already. Then drop ice cream balls one at a time into deep fryer or skillet with oil and cook for 8-10 minutes"
How can you decorate an old shirt to give it new life?,"Old shirts can be given new life by using fabric paint or markers to add designs, or even slogans.","Old shirts can be given new life by using automotive paint or markers to add designs, or even slogans."
Make vase structure (shell),Blow up a large balloon preferable with a elongated end to give the a basic base design. Now cut small piece of construction paper 3 to 4 inches square. Glue paper pieces onto balloon with paste or glue covering entire balloon 2 layers will be needed. Let dry 24 hours.,Blow up a large balloon preferable with a elongated end to give the a basic base design. Now cut small piece of construction paper 3 to 4 inches square. Glue paper pieces onto balloon with paste or glue covering entire balloon 2 layers will be needed. Let dry.
ice pick,can poke through metal armor ,can poke through cloth 
What kind of berries should I use in a Purple Goddess Salad Dressing?,The best berries to use to get the purple color are strawberries.,The best berries to use to get the purple color are blueberries.
How to cut out your base?,"Use compass to cut out the base and lid of the brain canister. Cut a 12"" diameter circle from both.  Cut it out with a hand saw.","Use compass to cut out the base and lid of the brain canister. Cut a 12"" diameter circle from both. Cut it out with a jig saw."
"To protect a workstation when working with paint, you can",Lay down shredded sheets of newspaper all over the workstation,Lay down solid sheets of newspaper all over the workstation
Make desktop resting spot for cat.,Flip the top of a board game sideways.,Flip the top of a board game upside down.
how do you put underwear on?,pull them up over your legs.,pull them down over your chest.
fist,grips house ,grips spoon 
What do you need to shape the macarons?,You will need a piping bag with any size tip.,You will need a piping bag with a large round tip.
To sew the bike inner tube fabric using a sewing machine.,Change the sewing machine needle to a denim/leather needle. Lay the inner tube fabric on top of each other and run through the sewing machine at the desired edge to be sewn.,Change the sewing machine needle to a lace needle. Lay the inner tube fabric on top of each other and run through the sewing machine at the desired edge to be sewn.
Turn any cup into a travel cup,use press and seal to make a super tight seal at the top of your cup,use press and seal to make a super tight opening at the top of your cup
How to cut out square on Styrofoam ice box.,"Using a marker, mark the square you swish to cut on the box. With a cutter blade, guide the blade where the marked lines are located.","Using a marker, mark the circle you swish to cut on the box. With a cutter blade, guide the blade where the marked lines are located."
Prevent lightbulbs from sticking to fixtures.,Apply vaseline to bulb glass.,Apply vaseline to bulb threads.
"To assemble cardboard together to make a shelf, you can",Tape the cardboard together,Sew the cardboard together
how do you switch profiles on instagram?,"go to your profile page, then click on your username at the top of the page, then click on the other profile.","go to your profile page, then click on your usernmae at the top of the page, and click on signout."
how do you wear a sweatshirt?,put it on over your top.,put it on directly under your top.
How to make Oh Henry Candy bar Ice cream at home.,"In a large bowl combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups whipping cream. Chill in refrigerator for 1 hour. Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  After freezing for 20 min. add 4 cups Diced Oh Henry Candy bars.  Return to freezing mode.  Complete freezing process. Serve with Roasted peanuts on top.","In a large bowl combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups Garlic Butter. Chill in refrigerator for 1 hour. Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  After freezing for 20 min. add 4 cups Diced Oh Henry Cany bars.  Return to freezing mode.  Complete freezing process."
"To clean your glasses easily,",wash them in the sink with soap.,wipe them on the bottom of your shirt.
,,
How can I get the lumps out of gravy?,Place a square of screen beside a bowl and pour gravy into the bowl.,Place a square of screen over a bowl and pour gravy through to strain.
How can I get the best Bell pepper?,"Look at the bottom part of the pepper, if it has 4 bumps it is a female and has more seeds but the flesh is sweeter and better for raw eating, the males have 3 bumps and are firmer and good for cooking.","Look at the bottom part of the plastic bag, if it has 4 bumps it is a female and has more seeds but the flesh is sweeter and better for raw eating, the males have 3 bumps and are firmer and good for cooking."
To prevent dust from getting into resin design while it dries.,Shake the resin periodically while it dries.,Cover the resin while it dries.
How can you neatly cut a cake?,"Run the knife you use for cutting under hot water, dry the knife and cut, repeat as needed.","Run the knife you use for cutting under cold water, dry the knife and cut, repeat as needed."
How to fix a water damaged book.,Cover the surface with plastic sheeting and absorbent paper and burn until dry.,Cover the surface of the pages with plastic sheeting and absorbent paper and fan until dry.
Squeeze a lemon wedge into a drink.,"Taking the lemon wedge in between your hands, hold it over the drink and squeeze your hands together, letting the juice drip out into the drink.","Taking the lemon wedge lengthwise in between your fingers, hold it over the drink and squeeze the ends inward towards the thicker center."
how do you make soup?,boil it in a crock pot or a pot.,boil it in a frying pan.
Put wheels on the helicopter,Attach straws to the top of the helicopter and put the wheels on the ends of the straws.,Attach straws to the bottom of the helicopter and put the wheels on the ends of the straws.
Save money on gas.,Kick tires to make sure they are properly inflated.,Use tire pressure gauge to make sure they are properly inflated.
Cool down body temperature.,Run wrist under cold water for five minutes.,Run wrist under hotwater for five minutes.
How can I keep a basement from smelling like mildew?,Keep a bag of barbeque charcoal in the basement.,Keep a bag of activated charcoal in the basement.
How to start a fire in a fireplace at home?,"Stack the wood as desired, then place newspaper or tinder between the wood and press a lighter to the tinder until it catches and then the wood catches","Stack the wood as desired, then place newspaper or tinder between the wood and press a lighter to the wood until it catches and then the tinder catches"
mold,can form  on bleach bottle slowly.,can form  in the shower slowly.
To load cylinder containers to a truck.,use a wooden sheet to make way for easy way of loading the containers to the truck,use a ramp to roll the tanks up the truck.
To make the monkeys ears on the monkey cupcake,Take two mini vanilla wafers and place them out to either side letting the wafer hang off the monkeys head.,Take two bananas and place them under either side letting the banana hang off the monkeys mouth.
marker,can draw on a  blackboard ,can draw on a  face 
Prevent cold chills in rooms.,Cover door opening with pasta noodle.,Cover door opening with pool noodle.
